exp,session,id,learning context,accuracy
0,0,27350713958336398107793686528,PP,0.8
0,0,27350713958336398107793686528,RC,0.95
0,0,27350713958336398107793686528,RP,0.75
0,0,27355415798764798596916183040,PC,0.95
0,0,27355415798764798596916183040,PP,0.6
0,0,27355415798764798596916183040,RC,0.9
0,0,27355415798764798596916183040,RP,0.55
0,0,27369868183758299887841574912,PC,0.55
0,0,27369868183758299887841574912,PP,0.65
0,0,27369868183758299887841574912,RC,1.0
0,0,27369868183758299887841574912,RP,0.5
0,0,27381320345345000876135153664,PC,1.0
0,0,27381320345345000876135153664,PP,0.2
0,0,27381320345345000876135153664,RC,1.0
0,0,27381320345345000876135153664,RP,1.0
0,0,27387530559019400228669227008,PC,0.8
0,0,27387530559019400228669227008,PP,0.45
0,0,27387530559019400228669227008,RC,1.0
0,0,27387530559019400228669227008,RP,1.0
0,0,27404652104631499703583768576,PC,0.9
0,0,27404652104631499703583768576,PP,0.55
0,0,27404652104631499703583768576,RC,0.45
0,0,27404652104631499703583768576,RP,0.7
0,0,27421950785719698106301284352,PC,0.55
0,0,27421950785719698106301284352,PP,0.6
0,0,27421950785719698106301284352,RC,0.55
0,0,27421950785719698106301284352,RP,0.7
0,0,27429222454408300528333225984,PC,0.55
0,0,27429222454408300528333225984,PP,0.45
0,0,27429222454408300528333225984,RC,0.65
0,0,27429222454408300528333225984,RP,0.45
0,0,27438527733092302104878383104,PC,0.65
0,0,27438527733092302104878383104,PP,0.65
0,0,27438527733092302104878383104,RC,0.65
0,0,27438527733092302104878383104,RP,0.5
0,0,27449760360904098431966904320,PC,0.65
0,0,27449760360904098431966904320,PP,0.45
0,0,27449760360904098431966904320,RC,0.9
0,0,27449760360904098431966904320,RP,0.7
0,0,27469026706412599088437526528,PC,0.95
0,0,27469026706412599088437526528,PP,0.95
0,0,27469026706412599088437526528,RC,0.95
0,0,27469026706412599088437526528,RP,0.95
0,0,27479702827043701176510971904,PC,0.75
0,0,27479702827043701176510971904,PP,0.8
0,0,27479702827043701176510971904,RC,0.5
0,0,27479702827043701176510971904,RP,0.95
0,0,27481678539080401560075763712,PC,0.45
0,0,27481678539080401560075763712,PP,0.65
0,0,27481678539080401560075763712,RC,0.55
0,0,27481678539080401560075763712,RP,0.7
0,0,27482566193851898581212987392,PC,1.0
0,0,27482566193851898581212987392,PP,0.95
0,0,27482566193851898581212987392,RC,0.9
0,0,27482566193851898581212987392,RP,0.95
0,0,27497002308280701525401010176,PC,0.85
0,0,27497002308280701525401010176,PP,0.35
0,0,27497002308280701525401010176,RC,0.8
0,0,27497002308280701525401010176,RP,0.85
0,0,27501412217703401346585067520,PC,0.6
0,0,27501412217703401346585067520,PP,0.65
0,0,27501412217703401346585067520,RC,0.45
0,0,27501412217703401346585067520,RP,0.7
0,0,27503703362691802009450840064,PC,0.85
0,0,27503703362691802009450840064,PP,0.65
0,0,27503703362691802009450840064,RC,1.0
0,0,27503703362691802009450840064,RP,0.9
0,0,27518325231410602103676076032,PC,0.8
0,0,27518325231410602103676076032,PP,0.85
0,0,27518325231410602103676076032,RC,0.95
0,0,27518325231410602103676076032,RP,1.0
0,0,27519571107968500847087714304,PC,0.15
0,0,27519571107968500847087714304,PP,0.95
0,0,27519571107968500847087714304,RC,0.95
0,0,27519571107968500847087714304,RP,0.85
0,0,27524728845817101505150320640,PC,0.7
0,0,27524728845817101505150320640,PP,0.7
0,0,27524728845817101505150320640,RC,0.5
0,0,27524728845817101505150320640,RP,0.2
0,0,27530450138461199990511370240,PC,1.0
0,0,27530450138461199990511370240,PP,0.75
0,0,27530450138461199990511370240,RC,0.95
0,0,27530450138461199990511370240,RP,1.0
0,0,27533706077622001536161808384,PC,0.95
0,0,27533706077622001536161808384,PP,0.4
0,0,27533706077622001536161808384,RC,0.75
0,0,27533706077622001536161808384,RP,0.9
0,0,27537170155238500498690539520,PC,0.9
0,0,27537170155238500498690539520,PP,0.9
0,0,27537170155238500498690539520,RC,0.7
0,0,27537170155238500498690539520,RP,1.0
0,0,27556671135765602153000861696,PC,0.7
0,0,27556671135765602153000861696,PP,0.6
0,0,27556671135765602153000861696,RC,0.45
0,0,27556671135765602153000861696,RP,0.55
0,0,27578242769362199298271346688,PC,0.55
0,0,27578242769362199298271346688,PP,0.5
0,0,27578242769362199298271346688,RC,0.55
0,0,27578242769362199298271346688,RP,0.65
0,0,27578416189980101236225998848,PC,0.6
0,0,27578416189980101236225998848,PP,0.7
0,0,27578416189980101236225998848,RC,0.65
0,0,27578416189980101236225998848,RP,0.6
0,0,27580653705851598942511300608,PC,1.0
0,0,27580653705851598942511300608,PP,0.85
0,0,27580653705851598942511300608,RC,1.0
0,0,27580653705851598942511300608,RP,0.0
0,0,27587722610789401591415832576,PC,0.6
0,0,27587722610789401591415832576,PP,0.55
0,0,27587722610789401591415832576,RC,0.85
0,0,27587722610789401591415832576,RP,0.45
0,0,27605579435025700199942062080,PC,0.95
0,0,27605579435025700199942062080,PP,0.3
0,0,27605579435025700199942062080,RC,0.95
0,0,27605579435025700199942062080,RP,0.55
0,0,27605683122619600603470364672,PC,0.65
0,0,27605683122619600603470364672,PP,0.65
0,0,27605683122619600603470364672,RC,0.75
0,0,27605683122619600603470364672,RP,0.6
0,0,27634092804688801965973438464,PC,0.85
0,0,27634092804688801965973438464,PP,0.6
0,0,27634092804688801965973438464,RC,0.85
0,0,27634092804688801965973438464,RP,0.95
0,0,27638572474440898231075340288,PC,1.0
0,0,27638572474440898231075340288,PP,0.95
0,0,27638572474440898231075340288,RC,0.0
0,0,27638572474440898231075340288,RP,1.0
0,0,27639130259364798378440392704,PC,0.85
0,0,27639130259364798378440392704,PP,0.75
0,0,27639130259364798378440392704,RC,0.8
0,0,27639130259364798378440392704,RP,1.0
0,0,27639549765615999452532703232,PC,0.3
0,0,27639549765615999452532703232,PP,0.6
0,0,27639549765615999452532703232,RC,0.95
